2026-08-24 15:00:12,194 | INFO |app.main | invoice-service started successfully on port 8003 |
2026-08-24 23:24:39,927 | INFO |app.main | invoice-service started successfully on port 8003 |
2026-08-24 23:44:24,591 | INFO |app.routers.invoices | List invoices request |
2026-08-24 23:44:24,591 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-24 23:44:25,053 | INFO |app.routers.invoices | List invoices request |
2026-08-24 23:44:25,055 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-24 23:44:44,731 | INFO |app.routers.invoices | List invoices request |
2026-08-24 23:44:44,775 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-24 23:44:45,203 | INFO |app.routers.invoices | List invoices request |
2026-08-24 23:44:45,205 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-26 02:19:23,734 | INFO |app.main | invoice-service started successfully on port 8003 |
2026-08-27 00:15:53,644 | INFO |app.routers.invoices | List invoices request |
2026-08-27 00:15:53,659 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 00:15:54,530 | INFO |app.routers.invoices | List invoices request |
2026-08-27 00:15:54,534 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 00:17:06,833 | INFO |app.routers.invoices | List invoices request |
2026-08-27 00:17:06,842 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 00:17:07,250 | INFO |app.routers.invoices | List invoices request |
2026-08-27 00:17:07,256 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 01:48:08,946 | INFO |app.routers.invoices | List invoices request |
2026-08-27 01:48:08,966 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 01:48:09,642 | INFO |app.routers.invoices | List invoices request |
2026-08-27 01:48:09,646 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:03:56,923 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:03:56,926 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:03:57,357 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:03:57,358 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:16:41,597 | INFO |app.main | invoice-service started successfully on port 8003 |
2026-08-27 02:27:13,397 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:27:13,398 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:27:37,815 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:27:37,816 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:27:39,063 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:27:39,064 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:30:41,577 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:30:41,578 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:30:42,769 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:30:42,771 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:33:09,092 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:33:09,096 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:33:45,710 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:33:45,712 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:33:46,803 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:33:46,804 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:34:36,381 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:34:36,412 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:34:37,413 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:34:37,414 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:37:18,984 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:37:18,985 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:37:19,693 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:37:19,695 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:51:16,790 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:51:16,791 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:51:17,662 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:51:17,663 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:51:37,299 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:51:37,302 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:51:38,562 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:51:38,563 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:55:50,385 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:55:50,412 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:55:51,389 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:55:51,391 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:56:02,459 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:56:02,461 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:56:03,269 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:56:03,270 | INFO |app.services.invoice_service | Fetching all invoices |
2026-08-27 02:56:16,153 | INFO |app.routers.invoices | List invoices request |
2026-08-27 02:56:16,154 | INFO |app.services.invoice_service | Fetching all invoices |
